area,finding,count,severity
source,input file,cleaned_data.csv,info
source,original rows,276,info
source,original columns,56,info
source,csv delimiter from csv_sniffer,"','",info
source,csv encoding,utf-8-sig,info
domain,hydroponic_greenhouse,28,info
columns,columns renamed to snake_case,7,info
columns,source columns renamed to avoid provenance collision,7,warning
duplicates,exact duplicate rows removed,0,info
duplicates,possible normalized duplicate rows flagged,0,info
review,rows needing human review,86,warning
missing_values,time missing-like values,1,warning
missing_values,input_observed_at missing-like values,1,warning
missing_values,input_review_reasons missing-like values,191,warning
missing_values,water_in_return missing-like values,132,warning
missing_values,mins_added missing-like values,182,warning
missing_values,return_now missing-like values,181,warning
missing_values,nutrient_solution missing-like values,221,warning
missing_values,ph_down missing-like values,242,warning
missing_values,how_much_consumed missing-like values,140,warning
missing_values,leak_or_no missing-like values,119,warning
missing_values,how_many_planted missing-like values,136,warning
missing_values,problems missing-like values,240,warning
missing_values,plant missing-like values,160,warning
missing_values,seed_or_seedling missing-like values,160,warning
missing_values,age missing-like values,160,warning
missing_values,watered_amount missing-like values,165,warning
missing_values,how_many_plants_planted missing-like values,160,warning
missing_values,problems_faced missing-like values,267,warning
missing_values,how_much_consumed_raw missing-like values,140,warning
missing_values,leak_or_no_raw missing-like values,119,warning
missing_values,mins_added_raw missing-like values,182,warning
missing_values,ph_down_raw missing-like values,242,warning
missing_values,plant_raw missing-like values,160,warning
missing_values,return_now_raw missing-like values,181,warning
missing_values,seed_or_seedling_raw missing-like values,160,warning
missing_values,time_raw missing-like values,1,warning
missing_values,water_in_return_raw missing-like values,132,warning
missing_values,watered_amount_raw missing-like values,165,warning
missing_values,mins_added_minutes missing-like values,200,warning
missing_values,mins_added_parse_status missing-like values,182,warning
missing_values,water_in_return_liters missing-like values,135,warning
missing_values,water_in_return_liters_parse_status missing-like values,132,warning
missing_values,return_now_liters missing-like values,181,warning
missing_values,return_now_liters_parse_status missing-like values,181,warning
missing_values,how_much_consumed_liters missing-like values,140,warning
